Crosslink.Type,Gene1.order,Gene2.order,Final_annot,Final_annot,Complex1,Complex1.1
BN,ACAD11,ITGA6,Mito,Other,,
BN,ACAD11,ITGA8,Mito,Other,,
BN,ACAD11,ITGAV,Mito,Endosome,,
BN,ACAD11,ITGB5,Mito,Other,,
BN,ACAD11,OSTM1,Mito,Lyso,,
BN,ACAD11,PRMT5,Mito,Other,,
BN,ACAD11,SEPTIN2,Mito,Other,,
BN,ACAD11,WDR77,Mito,Other,,
BN,ACAD8,ACADS,Mito,Mito,,
BN,ACAD8,P4HA2,Mito,Other,,
Intra,ACADM,ACADM,Mito,Mito,,
BN,ACADS,P4HA2,Mito,Other,,
Intra,ACAP2,ACAP2,Other,Other,,
Intra,ACAT1,ACAT1,Mito,Mito,,
Inter,ACAT1,PRPF4B,Mito,Nucleus,,
BN,ACAT2,DDX6,Other,Other,,
Inter,ACAT2,UBC,Other,Other,,
BN,ACBD3,CP,Other,Other,,
BN,ACBD3,HSPA4,Other,Other,,
BN,ACE,ALMS1,Other,Other,,
BN,ACE,CLCN3,Other,Endosome,,
BN,ACE,ITGB7,Other,Other,,
BN,ACE,LNPEP,Other,Endosome,,
BN,ACE,NBEAL1,Other,Other,,
BN,ACE2,APPL1,Other,Other,,
Intra,ACIN1,ACIN1,Nucleus,Nucleus,,
Inter,ACIN1,PNN,Nucleus,Other,,
Inter,ACIN1,SAP18,Nucleus,Other,,
Intra,ACLY,ACLY,Mito,Mito,,
BN,ACLY,UGP2,Mito,Other,,
Inter,ACO1,THRAP3,Other,Nucleus,,
Intra,ACO2,ACO2,Mito,Mito,,
BN,ACO2,GAS6,Mito,Other,,
BN,ACO2,MFSD8,Mito,Lyso,,
BN,ACOT13,ANXA11,Mito,Other,,
BN,ACOT13,GSK3A,Mito,Other,,
BN,ACOT13,SOD1,Mito,Mito,,
BN,ACOT13,SPTAN1,Mito,Other,,Emerin complex 1
BN,ACOT13,TPD52,Mito,Other,,
BN,ACOT13,TSPAN3,Mito,Lyso,,
Inter,ACOT7,ATXN3L,Mito,Nucleus,,
Inter,ACOT9,KRAS,Mito,Other,,
Intra,ACOX1,ACOX1,Other,Other,,
BN,ACOX1,IARS2,Other,Mito,,
BN,ACOX1,P4HA1,Other,Other,,
BN,ACOX1,PDHA1,Other,Mito,,
BN,ACOX1,PDHB,Other,Mito,,
Intra,ACP2,ACP2,Lyso,Lyso,,
Inter,ACP2,DDX20,Lyso,Other,,
Inter,ACP2,LDB1,Lyso,Nucleus,,
Intra,ACP3,ACP3,Other,Other,,
Inter,ACP7,EEA1,Other,Endosome,,
Intra,ACSL1,ACSL1,Mito,Mito,,
BN,ACSL1,CCT4,Mito,Other,,CCT complex (chaperonin containing TCP1 complex)
Inter,ACSL1,REEP5,Mito,Endosome,,
BN,ACSL1,TBXA2R,Mito,Other,,
Inter,ACSL1,ZBTB38,Mito,Nucleus,,
BN,ACSL1,ZDHHC20,Mito,Other,,
Intra,ACSL3,ACSL3,Other,Other,,
Inter,ACSL3,ERI2,Other,Other,,
BN,ACSL3,MELTF,Other,Other,,
Inter,ACSL3,SLC25A18,Other,Mito,,
Intra,ACSL4,ACSL4,Other,Other,,
Inter,ACSM3,EEA1,Mito,Endosome,,
Intra,ACTC1,ACTC1,Other,Other,,
Inter,ACTC1,ARPC5,Other,Endosome,,Arp2/3 protein complex
Intra,ACTG1,ACTG1,Other,Other,,
Inter,ACTG1,ACTL6A,Other,Nucleus,,
Inter,ACTG1,ACTR2,Other,Endosome,,Arp2/3 protein complex
Inter,ACTG1,ACTR3,Other,Endosome,,Arp2/3 protein complex
Inter,ACTG1,CAPZB,Other,Endosome,,PI4K2A-WASH complex
Inter,ACTG1,COL6A3,Other,Other,,
Inter,ACTG1,LIMA1,Other,Other,,
Inter,ACTG1,MYO10,Other,Other,,
Inter,ACTG1,MYO5A,Other,Endosome,,
Inter,ACTG1,PHACTR4,Other,Other,,
Intra,ACTL6A,ACTL6A,Nucleus,Nucleus,,
Inter,ACTN1,PTPRQ,Other,Other,,
BN,ACTN1,SLC35G1,Other,Other,,
BN,ACTN2,ACTN4,Other,Other,,
Intra,ACTR10,ACTR10,Other,Other,,
Inter,ACTR10,TMPO,Other,Nucleus,,
Intra,ACTR1A,ACTR1A,Other,Other,,
Inter,ACTR1A,BRIP1,Other,Other,,
Inter,ACTR1A,DCTN2,Other,Other,,
Intra,ACTR1B,ACTR1B,Other,Other,,
Inter,ACTR1B,MTA1,Other,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Intra,ACTR2,ACTR2,Endosome,Endosome,Arp2/3 protein complex,Arp2/3 protein complex
BN,ACTR2,ACTR3,Endosome,Endosome,Arp2/3 protein complex,Arp2/3 protein complex
BN,ACTR2,ACTR3B,Endosome,Endosome,Arp2/3 protein complex,
BN,ACTR2,AKT1,Endosome,Other,Arp2/3 protein complex,
Inter,ACTR2,APOA4,Endosome,Other,Arp2/3 protein complex,
BN,ACTR2,ARPC1A,Endosome,Endosome,Arp2/3 protein complex,
BN,ACTR2,ARPC1B,Endosome,Endosome,Arp2/3 protein complex,Arp2/3 protein complex
Inter,ACTR2,ARPC2,Endosome,Endosome,Arp2/3 protein complex,Arp2/3 protein complex
BN,ACTR2,ARPC3,Endosome,Endosome,Arp2/3 protein complex,Arp2/3 protein complex
BN,ACTR2,ARPC4,Endosome,Endosome,Arp2/3 protein complex,Arp2/3 protein complex
BN,ACTR2,ARPC5,Endosome,Endosome,Arp2/3 protein complex,Arp2/3 protein complex
BN,ACTR2,ARPC5L,Endosome,Endosome,Arp2/3 protein complex,
BN,ACTR2,CD109,Endosome,Other,Arp2/3 protein complex,
BN,ACTR2,CLCC1,Endosome,Other,Arp2/3 protein complex,
BN,ACTR2,ICAM5,Endosome,Other,Arp2/3 protein complex,
BN,ACTR2,ME2,Endosome,Mito,Arp2/3 protein complex,
BN,ACTR2,NFASC,Endosome,Other,Arp2/3 protein complex,
BN,ACTR2,PDXK,Endosome,Other,Arp2/3 protein complex,
BN,ACTR2,TBC1D10B,Endosome,Other,Arp2/3 protein complex,
BN,ACTR3,ARPC1A,Endosome,Endosome,Arp2/3 protein complex,
BN,ACTR3,ARPC1B,Endosome,Endosome,Arp2/3 protein complex,Arp2/3 protein complex
BN,ACTR3,ARPC2,Endosome,Endosome,Arp2/3 protein complex,Arp2/3 protein complex
Inter,ACTR3,ARPC3,Endosome,Endosome,Arp2/3 protein complex,Arp2/3 protein complex
BN,ACTR3,ARPC4,Endosome,Endosome,Arp2/3 protein complex,Arp2/3 protein complex
BN,ACTR3,ARPC5,Endosome,Endosome,Arp2/3 protein complex,Arp2/3 protein complex
BN,ACTR3,ARPC5L,Endosome,Endosome,Arp2/3 protein complex,
BN,ACTR3,CD109,Endosome,Other,Arp2/3 protein complex,
Inter,ACTR3,EEA1,Endosome,Endosome,Arp2/3 protein complex,
BN,ACTR3,ICAM5,Endosome,Other,Arp2/3 protein complex,
BN,ACTR3,NFASC,Endosome,Other,Arp2/3 protein complex,
BN,ACTR3,PDXK,Endosome,Other,Arp2/3 protein complex,
BN,ACTR3B,AKT1,Endosome,Other,,
BN,ACTR3B,ARPC1A,Endosome,Endosome,,
BN,ACTR3B,ARPC2,Endosome,Endosome,,Arp2/3 protein complex
BN,ACTR3B,ARPC3,Endosome,Endosome,,Arp2/3 protein complex
BN,ACTR3B,ARPC4,Endosome,Endosome,,Arp2/3 protein complex
BN,ACTR3B,ARPC5,Endosome,Endosome,,Arp2/3 protein complex
BN,ACTR3B,CD109,Endosome,Other,,
BN,ACTR3B,CLCC1,Endosome,Other,,
BN,ACTR3B,ME2,Endosome,Mito,,
BN,ACTR3B,NFASC,Endosome,Other,,
BN,ACTR3B,PDXK,Endosome,Other,,
BN,ACTR3B,TBC1D10B,Endosome,Other,,
Inter,ACTR5,HSP90AB1,Other,Endosome,,Kinase maturation complex 1
Inter,ACTR6,DDX46,Other,Other,,
Inter,ACTR8,STX7,Nucleus,Endosome,,
Inter,ACTRT1,EEA1,Other,Endosome,,
BN,ACVRL1,HSPA1B,Other,Other,,
BN,ACVRL1,HSPA2,Other,Other,,
BN,ACVRL1,HSPA5,Other,Endosome,,
Inter,ACVRL1,UBC,Other,Other,,
Intra,ADAM10,ADAM10,Other,Other,,
BN,ADAM11,GPR137B,Other,Lyso,,
Inter,ADAM15,EEA1,Other,Endosome,,
Intra,ADAM17,ADAM17,Other,Other,,
BN,ADAM22,ADAM9,Other,Other,,
Intra,ADAM9,ADAM9,Other,Other,,
Inter,ADAMDEC1,HSP90AA1,Other,Other,,Kinase maturation complex 1
Intra,ADAMTS1,ADAMTS1,Other,Other,,
BN,ADAMTS1,SNAP23,Other,Endosome,,SNARE complex
Inter,ADAMTS12,EEA1,Other,Endosome,,
Inter,ADAMTS15,DDX39B,Other,Other,,
Inter,ADAMTS19,SENP5,Other,Nucleus,,
Inter,ADAMTS2,EEF1A1P5,Other,Other,,
BN,ADAMTS3,GALK1,Other,Other,,
BN,ADAMTS3,MAT1A,Other,Other,,
BN,ADAMTS3,MAT2A,Other,Other,,
BN,ADAMTS3,NDUFS8,Other,Mito,,
BN,ADAMTS3,NDUFV2,Other,Mito,,
Inter,ADAMTS4,MTA1,Other,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Inter,ADAMTS6,USP25,Other,Other,,
Inter,ADAMTSL3,DMXL2,Other,Other,,
Intra,ADAR,ADAR,Other,Other,,
Inter,ADCK1,MAGT1,Mito,Other,,
Inter,ADCY10,TPR,Mito,Other,,
Inter,ADCY2,CLTC,Other,Endosome,,PI4K2A-WASH complex
BN,ADCY3,PTPRA,Other,Other,,
BN,ADCY3,RBM10,Other,Nucleus,,
BN,ADCY3,TFRC,Other,Endosome,,
BN,ADCY3,TNFRSF21,Other,Other,,
BN,ADCY3,ZDHHC5,Other,Other,,
Inter,ADCY5,LRP4,Other,Other,,
BN,ADCY7,ALDH5A1,Other,Mito,,
BN,ADCY7,ALDH6A1,Other,Mito,,
BN,ADCY7,AMIGO2,Other,Other,,
BN,ADCY7,DMWD,Other,Other,,
BN,ADCY7,HACL1,Other,Other,,
BN,ADCY7,KCTD12,Other,Other,,
BN,ADCY7,MME,Other,Other,,
BN,ADCY7,MST1R,Other,Other,,
BN,ADCY7,PNPT1,Other,Mito,,
BN,ADCY7,SLC34A2,Other,Other,,
BN,ADCY7,TMEM67,Other,Other,,
Intra,ADCY9,ADCY9,Other,Other,,
Inter,ADD2,PTPRZ1,Other,Other,,
Inter,ADGRA3,HSPA1B,Other,Other,,
Inter,ADGRB1,HSPA5,Other,Endosome,,
Inter,ADGRB3,HSP90AB1,Other,Endosome,,Kinase maturation complex 1
Inter,ADGRB3,KIF1B,Other,Other,,
Intra,ADGRE5,ADGRE5,Other,Other,,
BN,ADGRE5,KCNK1,Other,Other,,
BN,ADGRE5,MFSD4B,Other,Other,,
BN,ADGRE5,SLC6A15,Other,Other,,
Inter,ADGRF1,THRAP3,Other,Nucleus,,
Inter,ADGRF4,LRP1,Other,Endosome,,APP-APBB1-LRP1 complex
BN,ADGRG6,MEGF9,Other,Other,,
BN,ADGRL1,DAD1,Other,Other,,Oligosaccharyltransferase complex (Stt3A variant)
BN,ADGRL1,DDOST,Other,Endosome,,Oligosaccharyltransferase complex (Stt3A variant)
Inter,ADGRL1,HSP90AB1,Other,Endosome,,Kinase maturation complex 1
BN,ADGRL1,RPN1,Other,Endosome,,Oligosaccharyltransferase complex (Stt3A variant)
BN,ADGRL1,RPN2,Other,Endosome,,Oligosaccharyltransferase complex (Stt3A variant)
BN,ADGRL1,RUFY1,Other,Endosome,,
BN,ADGRL2,ATP13A3,Other,Other,,
BN,ADGRL2,ATP7B,Other,Other,,
BN,ADGRL2,ATP9B,Other,Other,,
BN,ADGRL2,IGSF8,Other,Other,,
BN,ADGRL2,PTK7,Other,Other,,
Inter,ADGRL3,RBM22,Other,Other,,
Inter,ADH7,PRKACA,Other,Mito,,
BN,ADIPOR1,RNF130,Other,Other,,
Intra,ADNP,ADNP,Nucleus,Nucleus,,
Inter,ADNP,CBX1,Nucleus,Nucleus,,
Inter,ADNP,CHD4,Nucleus,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Intra,ADRM1,ADRM1,Other,Other,,
BN,ADSL,RPLP0,Other,Endosome,,
Inter,ADSS1,EEA1,Other,Endosome,,
Inter,AFAP1,B4GAT1,Other,Golgi,,
Inter,AFAP1,DPF3,Other,Nucleus,,
Intra,AFDN,AFDN,Other,Other,,
Inter,AFDN,AKAP9,Other,Other,,
BN,AFDN,ITGA3,Other,Endosome,,
BN,AFDN,ITGA4,Other,Other,,
BN,AFDN,ITGA6,Other,Other,,
BN,AFDN,ITGA8,Other,Other,,
BN,AFDN,ITGAV,Other,Endosome,,
BN,AFDN,ITGB5,Other,Other,,
BN,AFDN,OSTM1,Other,Lyso,,
BN,AFDN,PRMT5,Other,Other,,
BN,AFDN,SEPTIN2,Other,Other,,
Inter,AFDN,UACA,Other,Other,,
BN,AFDN,WDR77,Other,Other,,
Intra,AFF1,AFF1,Nucleus,Nucleus,,
Inter,AFF1,CHD4,Nucleus,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Inter,AFF1,SMG7,Nucleus,Other,,
Intra,AFF4,AFF4,Nucleus,Nucleus,,
Inter,AFF4,CREBBP,Nucleus,Other,,
Inter,AFF4,MTUS2,Nucleus,Other,,
Inter,AFF4,NOTCH4,Nucleus,Other,,
Inter,AFF4,RAB14,Nucleus,Endosome,,
Inter,AFF4,SRRM1,Nucleus,Nucleus,,
Inter,AFF4,TAF3,Nucleus,Nucleus,,
Intra,AFG3L2,AFG3L2,Mito,Mito,,
Inter,AFM,BIVM,Other,Other,,
Inter,AFM,RAB14,Other,Endosome,,
BN,AGA,BAG5,Lyso,Other,,
BN,AGA,CRTAP,Lyso,Other,,
BN,AGA,FAM177A1,Lyso,Other,,
BN,AGA,SH3GLB1,Lyso,Other,,
BN,AGA,SNX17,Lyso,Endosome,,
Inter,AGAP2,EEA1,Other,Endosome,,
Inter,AGBL2,EEA1,Other,Endosome,,
BN,AGFG1,FLVCR1,Other,Other,,
BN,AGFG1,HIBADH,Other,Mito,,
BN,AGFG1,PICALM,Other,Other,,
Inter,AGK,HSP90B1,Mito,Endosome,,
Inter,AGL,MTA2,Other,Nucleus,,
Inter,AGO1,CHD1,Other,Other,,
Inter,AGO2,GATAD2A,Other,Nucleus,,
Inter,AGPAT5,PRUNE2,Mito,Other,,
Intra,AGRN,AGRN,Other,Other,,
Inter,AGTPBP1,ATP2B1,Other,Other,,
Inter,AGTPBP1,EIF3A,Other,Other,,"eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)"
BN,AGTRAP,COL1A1,Endosome,Other,,
BN,AGTRAP,ECHS1,Endosome,Mito,,
BN,AGTRAP,MANBA,Endosome,Lyso,,
BN,AGTRAP,NUCB2,Endosome,Golgi,,
Inter,AHCTF1,EEA1,Other,Endosome,,
Intra,AHCYL1,AHCYL1,Mito,Mito,,
BN,AHCYL1,NECTIN2,Mito,Other,,
Inter,AHCYL1,VPS13B,Mito,Golgi,,
Inter,AHDC1,EEA1,Nucleus,Endosome,,
Inter,AHNAK,CHD4,Nucleus,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Inter,AHNAK,CLIP2,Nucleus,Other,,
Inter,AHNAK,EEF1A1P5,Nucleus,Other,,
Inter,AHNAK,ENY2,Nucleus,Nucleus,,
Inter,AHNAK,IGF2R,Nucleus,Endosome,,
Inter,AHNAK,KDM5A,Nucleus,Nucleus,,
Inter,AHNAK2,ECT2L,Nucleus,Other,,
Inter,AHNAK2,HSP90AB1,Nucleus,Endosome,,Kinase maturation complex 1
Inter,AHNAK2,RPS3A,Nucleus,Other,,"Ribosome, cytoplasmic"
Intra,AIFM1,AIFM1,Mito,Mito,,
BN,AIFM1,EIF3F,Mito,Other,,
BN,AIFM1,F11R,Mito,Other,,
BN,AIFM1,TMBIM1,Mito,Other,,
Inter,AIMP1,KNSTRN,Other,Other,,
Inter,AK1,HSP90AB1,Other,Endosome,,Kinase maturation complex 1
Inter,AK2,NFILZ,Mito,Nucleus,,
Intra,AK3,AK3,Mito,Mito,,
Inter,AK9,AP1AR,Other,Endosome,,Gamma-BAR-AP1 complex
Inter,AK9,ESYT1,Other,Other,,
Inter,AK9,STX16,Other,Endosome,,SNARE complex
BN,AKAP10,BTN3A1,Mito,Other,,
BN,AKAP10,NDST1,Mito,Golgi,,
BN,AKAP10,NEDD4,Mito,Other,,PI4K2A-WASH complex
Intra,AKAP11,AKAP11,Other,Other,,
Inter,AKAP11,EEA1,Other,Endosome,,
Intra,AKAP13,AKAP13,Other,Other,,
Intra,AKAP17A,AKAP17A,Nucleus,Nucleus,,
Inter,AKAP17A,CAAP1,Nucleus,Other,,
Inter,AKAP3,EEA1,Other,Endosome,,
Inter,AKAP4,HENMT1,Other,Other,,
Inter,AKAP4,HSP90AA1,Other,Other,,Kinase maturation complex 1
Inter,AKAP4,HSP90AB1,Other,Endosome,,Kinase maturation complex 1
Intra,AKAP5,AKAP5,Other,Other,,
BN,AKAP5,PRKAR2A,Other,Other,,
BN,AKAP5,PRKAR2B,Other,Other,,
Inter,AKAP6,EEA1,Other,Endosome,,
Intra,AKAP8,AKAP8,Other,Other,,
Intra,AKAP9,AKAP9,Other,Other,,
Inter,AKAP9,EEA1,Other,Endosome,,
Inter,AKAP9,MAP7D2,Other,Other,,
Inter,AKAP9,MARS1,Other,Other,,
Inter,AKAP9,OR2H1,Other,Other,,
Inter,AKAP9,PRPF6,Other,Nucleus,,
Inter,AKAP9,SPTBN2,Other,Other,,
Inter,AKNAD1,CHD4,Other,Other,,NRD complex (Nucleosome remodeling and deacetylation complex)
Inter,AKNAD1,EEA1,Other,Endosome,,
BN,AKT1,APPL1,Other,Other,,
BN,AKT1,ARPC1A,Other,Endosome,,
BN,AKT1,ARPC2,Other,Endosome,,Arp2/3 protein complex
BN,AKT1,ARPC4,Other,Endosome,,Arp2/3 protein complex
BN,AKT1,ARPC5,Other,Endosome,,Arp2/3 protein complex
BN,AKT1,CD109,Other,Other,,
BN,AKT1,NFASC,Other,Other,,
BN,AKT1,PDXK,Other,Other,,
Inter,AKT1,REEP5,Other,Endosome,,
BN,AKT1,TBC1D10B,Other,Other,,
Inter,AKT3,CHRNB4,Other,Other,,
Inter,AKTIP,MGA,Other,Nucleus,,
Intra,ALB,ALB,Endosome,Endosome,,
Inter,ALB,FSIP1,Endosome,Other,,
Inter,ALB,GLG1,Endosome,Golgi,,
Intra,ALCAM,ALCAM,Other,Other,,
Inter,ALCAM,BOD1L1,Other,Nucleus,,
BN,ALCAM,COX5A,Other,Mito,,
BN,ALCAM,EPHB2,Other,Other,,
BN,ALCAM,GMPR2,Other,Lyso,,
BN,ALCAM,MYDGF,Other,Other,,
BN,ALCAM,NIPSNAP3A,Other,Mito,,
BN,ALCAM,PLPP1,Other,Other,,
BN,ALCAM,SLCO5A1,Other,Other,,
Inter,ALCAM,SUN1,Other,Nucleus,,
BN,ALCAM,TARS1,Other,Other,,
BN,ALCAM,UGGT1,Other,Other,,
Intra,ALDH18A1,ALDH18A1,Mito,Mito,,
BN,ALDH1B1,COX7A2,Mito,Mito,,
Inter,ALDH1B1,EEA1,Mito,Endosome,,
BN,ALDH1B1,VASN,Mito,Other,,
Inter,ALDH1L1,PEX3,Mito,Other,,
BN,ALDH3A2,IL13RA1,Mito,Other,,
BN,ALDH3A2,TRAP1,Mito,Mito,,
BN,ALDH3A2,VAT1,Mito,Other,,
BN,ALDH5A1,AMIGO2,Mito,Other,,
BN,ALDH5A1,KCTD12,Mito,Other,,
BN,ALDH5A1,SLC34A2,Mito,Other,,
BN,ALDH6A1,AMIGO2,Mito,Other,,
BN,ALDH6A1,DMWD,Mito,Other,,
BN,ALDH6A1,GLUD1,Mito,Mito,,
BN,ALDH6A1,HACL1,Mito,Other,,
BN,ALDH6A1,IMPDH2,Mito,Other,,
BN,ALDH6A1,KCTD12,Mito,Other,,
BN,ALDH6A1,MME,Mito,Other,,
BN,ALDH6A1,MST1R,Mito,Other,,
BN,ALDH6A1,NT5E,Mito,Endosome,,
BN,ALDH6A1,PNPT1,Mito,Mito,,
BN,ALDH6A1,TMEM67,Mito,Other,,
Intra,ALDH7A1,ALDH7A1,Mito,Mito,,
Intra,ALDOA,ALDOA,Other,Other,,
